"","Code","Date","Time.x","Day","Station","Min Delay","Min Gap","Bound","Line","Vehicle","Code Description","Hour","Time Category","datetime","datetime_floor","Time.y","temperature_2m","precipitation"
"13827","PUOPO",2024-08-16,11:27:00,"Friday","VAUGHAN MC STATION",5,10,"S","YU",5546,"OPTO (COMMS) Train Door Monitoring",11,"Non-Peak",NA,NA,"11:00",21.9,0
"13828","PUOPO",2024-09-25,09:29:00,"Wednesday","QUEEN'S PARK STATION",0,0,"N","YU",5481,"OPTO (COMMS) Train Door Monitoring",9,"Peak",NA,NA,NA,NA,NA
"13829","PUOPO",2024-01-23,07:35:00,"Tuesday","FINCH STATION",0,0,"S","YU",5736,"OPTO (COMMS) Train Door Monitoring",7,"Peak",NA,NA,"07:00",-0.1,0
"13830","PUOPO",2024-01-23,07:26:00,"Tuesday","LAWRENCE STATION",9,12,"N","YU",5896,"OPTO (COMMS) Train Door Monitoring",7,"Peak",NA,NA,"07:00",-0.1,0
"13831","PUOPO",2024-11-01,10:50:00,"Friday","QUEEN'S PARK STATION",3,7,"N","YU",5711,"OPTO (COMMS) Train Door Monitoring",10,"Non-Peak",NA,NA,"10:00",11.7,0
"13832","PUOPO",2024-04-16,16:41:00,"Tuesday","NORTH YORK CTR STATION",3,6,"S","YU",5421,"OPTO (COMMS) Train Door Monitoring",16,"Peak",NA,NA,"16:00",5.3,0
"13833","PUOPO",2024-02-05,12:11:00,"Monday","EGLINTON STATION",3,8,"S","YU",5876,"OPTO (COMMS) Train Door Monitoring",12,"Non-Peak",NA,NA,"12:00",0.5,0
"13834","PUOPO",2024-09-28,16:35:00,"Saturday","DUNDAS STATION",6,10,"N","YU",6021,"OPTO (COMMS) Train Door Monitoring",16,"Peak",NA,NA,"16:00",18,0
"13835","PUOPO",2024-07-31,15:13:00,"Wednesday","GLENCAIRN STATION",3,8,"S","YU",6106,"OPTO (COMMS) Train Door Monitoring",15,"Peak",NA,NA,"15:00",24.1,0
"13836","PUOPO",2024-03-06,15:07:00,"Wednesday","QUEEN'S PARK STATION",3,8,"N","YU",5466,"OPTO (COMMS) Train Door Monitoring",15,"Peak",NA,NA,"15:00",4.4,0
"13837","PUOPO",2024-10-18,06:36:00,"Friday","LAWRENCE WEST STATION",4,8,"S","YU",5421,"OPTO (COMMS) Train Door Monitoring",6,"Non-Peak",NA,NA,"06:00",9.2,0
"13838","PUOPO",2024-10-01,06:14:00,"Tuesday","SHEPPARD WEST STATION",3,7,"N","YU",5326,"OPTO (COMMS) Train Door Monitoring",6,"Non-Peak",NA,NA,"06:00",18.4,0
"13839","PUOPO",2024-07-27,11:06:00,"Saturday","BAYVIEW STATION",4,11,"W","SHP",6171,"OPTO (COMMS) Train Door Monitoring",11,"Non-Peak",NA,NA,"11:00",18,0
"13840","PUOPO",2024-08-12,07:11:00,"Monday","ST ANDREW STATION",0,0,"N","YU",5716,"OPTO (COMMS) Train Door Monitoring",7,"Peak",NA,NA,"07:00",16.6,0
"13841","PUOPO",2024-09-12,18:37:00,"Thursday","COLLEGE STATION",6,9,"S","YU",5501,"OPTO (COMMS) Train Door Monitoring",18,"Peak",NA,NA,"18:00",20.4,0
"13842","PUOPO",2024-01-12,17:19:00,"Friday","NORTH YORK CTR STATION",3,6,"N","YU",5501,"OPTO (COMMS) Train Door Monitoring",17,"Peak",NA,NA,"17:00",2.5,0
"13843","PUOPO",2024-01-19,06:41:00,"Friday","EGLINTON STATION",0,0,"S","YU",5906,"OPTO (COMMS) Train Door Monitoring",6,"Non-Peak",NA,NA,"06:00",-5.1,0
"13844","PUOPO",2024-05-23,16:48:00,"Thursday","EGLINTON WEST STATION",4,7,"N","YU",5696,"OPTO (COMMS) Train Door Monitoring",16,"Peak",NA,NA,"16:00",14.1,0
"13845","PUOPO",2024-08-15,06:55:00,"Thursday","NORTH YORK CTR STATION",3,6,"S","YU",5886,"OPTO (COMMS) Train Door Monitoring",6,"Non-Peak",NA,NA,"06:00",20.6,0
"13846","PUOPO",2024-11-25,14:02:00,"Monday","BLOOR STATION",4,8,"N","YU",6046,"OPTO (COMMS) Train Door Monitoring",14,"Non-Peak",NA,NA,"14:00",4.3,0
"13847","PUOPO",2024-06-14,11:24:00,"Friday","DOWNSVIEW PARK STATION",3,8,"N","YU",5616,"OPTO (COMMS) Train Door Monitoring",11,"Non-Peak",NA,NA,"11:00",14.8,0
"13848","PUOPO",2024-07-06,19:36:00,"Saturday","LESLIE STATION",0,0,"E","SHP",6196,"OPTO (COMMS) Train Door Monitoring",19,"Non-Peak",NA,NA,"19:00",19.7,0
"13849","PUOPO",2024-04-24,17:59:00,"Wednesday","ST PATRICK STATION",3,6,"S","YU",6056,"OPTO (COMMS) Train Door Monitoring",17,"Peak",NA,NA,"17:00",5.4,0
"13850","PUOPO",2024-09-02,20:11:00,"Monday","SHEPPARD STATION",4,10,"N","YU",5646,"OPTO (COMMS) Train Door Monitoring",20,"Non-Peak",NA,NA,"20:00",18.9,0
